Folder,# carbons,# hydrogen (top),# hydrogen (bottom),# of ethyl (top),# of ethyl (bottom),Thermal conductivity,Young's modulus,Maximum stress,Strain at maximum stress,Strain at fracture
E1H1-1,9484,46,50,49,47,45.59134853,880.351372,137.97801,0.2405,0.2583
E1H1-2,9484,58,38,43,53,41.96489774,883.097599,136.98315,0.2394,0.2449
E1H1-3,9484,46,50,45,51,45.57843467,883.340872,139.21892,0.2763,0.2822
E1H1-4,9484,51,45,54,42,42.9035541,883.268681,137.1136,0.2383,0.244
E1H2-1,9387,101,92,46,50,38.63721981,869.960936,135.11262,0.2407,0.2473
E1H2-2,9387,90,103,46,50,38.43359229,873.385175,134.54078,0.2397,0.2475
E1H2-3,9389,93,98,41,55,39.03496571,871.248715,135.89515,0.2427,0.2485
E1H2-4,9387,99,94,47,49,38.79837058,872.128182,134.44271,0.2438,0.2479
E1H3-1,9292,133,155,55,41,38.2183796,862.470603,133.18693,0.2415,0.2479
E1H3-2,9292,155,133,43,53,36.55282945,858.627541,131.19401,0.2417,0.2478
E1H3-3,9292,128,160,46,50,37.32661875,861.81593,133.65125,0.2448,0.2499
E1H3-4,9295,140,145,48,48,37.27078429,860.142278,133.14975,0.2438,0.2492
E1H4-1,9199,188,193,47,49,34.28442568,851.304049,131.75727,0.2435,0.2518
E1H4-2,9197,171,212,45,51,31.76837296,848.380894,130.67396,0.241,0.2516
E1H4-3,9195,193,192,54,42,34.17701891,847.673824,130.09667,0.2443,0.2475
E1H4-4,9196,199,185,48,48,33.43432866,849.9252,130.90025,0.2428,0.2523
E1H5-1,9104,244,232,52,44,30.67120792,837.945473,129.53113,0.2445,0.2485
E1H5-2,9102,235,243,45,51,30.68797253,838.103866,129.08738,0.2409,0.2481
E1H5-3,9101,227,252,38,58,31.86942705,837.248336,128.72086,0.2423,0.2566
E1H5-4,9103,232,245,45,51,30.60476367,837.832555,128.80118,0.2396,0.2537
E1H6-1,9009,290,281,39,57,29.10578929,823.822231,129.28641,0.2478,0.255
E1H6-2,9006,278,296,52,44,29.81534972,820.827415,127.83808,0.2501,0.2556
E1H6-3,9006,294,280,48,48,28.94720547,825.165612,127.55347,0.2411,0.2489
E1H6-4,9008,289,283,41,55,29.95615558,827.276991,127.4286,0.2411,0.2551
E1H7-1,8912,336,332,43,53,27.10733668,817.48904,126.58737,0.2467,0.2494
E1H7-2,8916,325,339,48,48,28.10187968,818.507486,126.70097,0.2468,0.2593
E1H7-3,8917,350,313,52,44,28.57441298,810.635888,125.88945,0.2435,0.2698
E1H7-4,8917,313,350,41,55,28.03675271,817.903466,126.8485,0.2455,0.2644
E1H8-1,8824,366,390,46,50,26.95784675,802.16994,124.12012,0.2479,0.2705
E1H8-2,8830,372,378,53,43,26.784252,807.448182,126.59239,0.2484,0.2613
E1H8-3,8817,390,373,54,42,26.71478835,801.554781,124.36266,0.2436,0.2537
E1H8-4,8820,381,379,48,48,26.69236281,804.005096,124.85935,0.2464,0.2613
E1H9-1,8732,419,429,43,53,24.76965961,790.383724,124.54371,0.2552,0.2671
E1H9-2,8728,443,409,44,52,24.35287834,792.833693,123.28148,0.2433,0.2609
E1H9-3,8723,423,434,32,64,25.52554656,786.109214,124.04984,0.2479,0.2608
E1H9-4,8735,444,401,43,53,24.80138731,790.085045,124.30344,0.2456,0.2565
E1H10-1,8642,456,482,47,49,24.76871789,781.427786,123.47563,0.2575,0.2591
E1H10-2,8635,462,483,47,49,23.26367729,784.457237,122.8959,0.2494,0.2892
E1H10-3,8633,490,457,51,45,23.9589865,782.868757,123.27464,0.2492,0.2671
E1H10-4,8630,469,481,49,47,22.57831006,782.380483,122.69879,0.2597,0.2617
E2H1-1,9388,46,49,99,94,36.57932387,873.501208,139.91537,0.2769,0.2803
E2H1-2,9387,57,39,89,104,35.65388473,870.955628,135.15209,0.2396,0.2461
E2H1-3,9388,46,49,91,102,35.71133503,872.151558,136.39151,0.2429,0.2479
E2H1-4,9387,57,39,105,88,35.56144528,873.650777,136.33845,0.2415,0.2634
E2H2-1,9291,90,102,105,88,32.41163561,857.249927,133.20347,0.2409,0.2471
E2H2-2,9291,101,91,97,96,33.38837849,860.871607,132.34734,0.2439,0.2454
E2H2-3,9290,98,95,100,93,32.99478951,859.803173,132.39668,0.2415,0.251
E2H2-4,9291,90,102,107,86,32.21035321,860.706333,132.84652,0.2401,0.2562
E2H3-1,9194,148,141,96,97,29.8891088,850.89553,131.6087,0.2428,0.2505
E2H3-2,9194,156,133,86,107,30.32794025,848.647793,131.28407,0.2452,0.2485
E2H3-3,9195,138,150,91,102,30.84678679,852.387638,131.04483,0.2414,0.2468
E2H3-4,9197,159,127,94,99,28.73508871,846.959083,130.82409,0.2415,0.2476
E2H4-1,9105,198,180,102,91,28.43665618,836.544629,129.17944,0.2431,0.2479
E2H4-2,9100,192,191,96,97,28.53395168,837.12908,128.61746,0.241,0.258
