Folder,# carbons,# hydrogen (top),# hydrogen (bottom),# of methyl (top),# of methyl (bottom),Thermal conductivity,Young's modulus,Maximum stress,Strain at maximum stress,Strain at fracture
M1H1-1,9484,47,49,47,49,44.75,883.959134,137.48514,0.2412,0.2635
M1H1-2,9484,47,49,49,47,46.13,884.360687,136.95219,0.2399,0.2502
M1H1-3,9484,46,50,49,47,45.57,883.515981,142.88124,0.2989,0.3019
M1H1-4,9484,45,51,54,42,44.00,881.968931,136.80316,0.2492,0.252
M1H2-1,9387,103,90,47,49,40.33,868.572341,134.03011,0.2407,0.2499
M1H2-2,9387,93,100,54,42,41.31,869.167314,134.22004,0.2386,0.248
M1H2-3,9390,98,92,42,54,40.82,872.3792,134.59032,0.243,0.2555
M1H2-4,9387,99,94,52,44,38.90,871.310914,133.00691,0.2364,0.2443
M1H3-1,9292,134,154,46,50,36.57,859.190923,133.15207,0.2417,0.2514
M1H3-2,9291,140,149,47,49,37.95,859.033184,132.77327,0.2432,0.2538
M1H3-3,9295,158,127,44,52,35.99,861.303513,132.18067,0.2443,0.2476
M1H3-4,9294,140,146,52,44,37.83,863.063386,132.54038,0.2415,0.2528
M1H4-1,9197,194,189,55,41,34.53,851.999153,130.13022,0.2393,0.2522
M1H4-2,9199,194,187,48,48,34.69,848.899863,130.20148,0.2397,0.2479
M1H4-3,9196,197,187,51,45,35.61,849.541804,129.6155,0.2431,0.2477
M1H4-4,9201,189,190,50,46,35.30,847.939255,130.97976,0.2418,0.2712
M1H5-1,9102,250,228,50,46,31.79,839.28206,130.26112,0.2437,0.254
M1H5-2,9102,227,251,48,48,32.79,838.02157,130.08212,0.2527,0.2585
M1H5-3,9102,241,237,50,46,32.81,837.466376,129.21653,0.2428,0.2532
M1H5-4,9107,239,234,44,52,32.81,839.321566,129.08596,0.244,0.2508
M1H6-1,9007,270,303,47,49,30.76,828.880685,128.87858,0.2473,0.263
M1H6-2,9008,298,274,52,44,29.62,829.068359,126.80132,0.24,0.2523
M1H6-3,9011,283,286,37,59,30.54,827.385031,128.50626,0.245,0.2579
M1H6-4,9008,292,280,52,44,30.68,823.54912,128.22203,0.2453,0.251
