,frac_C,frac_H+,frac_H-,frac_CH3+,frac_CH3-,C_mean_r,C_mean_c,C_std_r,C_std_c,C_corr_rc,H+_mean_r,H+_mean_c,H+_std_r,H+_std_c,H+_corr_rc,H-_mean_r,H-_mean_c,H-_std_r,H-_std_c,H-_corr_rc,CH3+_mean_r,CH3+_mean_c,CH3+_std_r,CH3+_std_c,CH3+_corr_rc,CH3-_mean_r,CH3-_mean_c,CH3-_std_r,CH3-_std_c,CH3-_corr_rc,H+_nn_mean,H+_nn_std,H-_nn_mean,H-_nn_std,CH3+_nn_mean,CH3+_nn_std,CH3-_nn_mean,CH3-_nn_std,dist_H+-H-_mean,dist_H+-H-_std,dist_H+-CH3+_mean,dist_H+-CH3+_std,dist_H+-CH3-_mean,dist_H+-CH3-_std,dist_H--CH3+_mean,dist_H--CH3+_std,dist_H--CH3-_mean,dist_H--CH3-_std,dist_CH3+-CH3-_mean,dist_CH3+-CH3-_std,rdf_nc_bin0,rdf_nc_bin1,rdf_nc_bin2,rdf_nc_bin3,rdf_nc_bin4,rdf_nc_bin5,rdf_nc_bin6,rdf_nc_bin7,rdf_nc_bin8,rdf_nc_bin9,fft_top0,fft_top1,fft_top2,fft_top3,fft_top4,fft_top5,fft_top6,fft_top7,fft_top8,fft_top9,fft_top10,fft_top11,fft_top12,fft_top13,fft_top14,fft_top15,fft_top16,fft_top17,fft_top18,fft_top19,row_marginal_0,row_marginal_1,row_marginal_2,row_marginal_3,row_marginal_4,row_marginal_5,row_marginal_6,row_marginal_7,row_marginal_8,row_marginal_9,col_marginal_0,col_marginal_1,col_marginal_2,col_marginal_3,col_marginal_4,col_marginal_5,col_marginal_6,col_marginal_7,col_marginal_8,col_marginal_9,Thermal conductivity,Young's modulus,Maximum stress,Strain at maximum stress,Strain at fracture
M1H1-1,0.9801570897064903,0.004857379082265399,0.005064076064489459,0.004857379082265399,0.005064076064489459,0.4946328,0.49553037,0.2883774,0.28871948,-0.0020310613515430297,0.46315515,0.5375045,0.29853272,0.29112566,0.19545926993755133,0.5009955,0.45122796,0.29188165,0.2799231,0.03768959393260953,0.42968345,0.5169492,0.28385997,0.25845167,0.22044764390656654,0.43653557,0.52490485,0.31790468,0.30286387,0.02493755413294517,7.592748690391475,3.3753104325451173,7.661766479870172,3.8665741467645027,7.563758476910804,3.53435784302247,7.916637968021804,3.6450002684149383,8.157699644670664,4.347268684815607,6.631501681522355,3.145715478789861,6.276223740549014,3.5777793280568684,8.121204913791987,4.834517696776566,8.508888992733885,3.8606904250809486,8.289149903389394,4.269211179117936,0.0030943785456420837,0.012893243940175348,0.020973010142685232,0.028451091627986935,0.0332645693656524,0.03790613718411552,0.04254770500257865,0.04727522778064294,0.05475330926594465,0.05217466047790958,0.2222372144460678,0.04621201753616333,0.0449596643447876,0.043911177664995193,0.04278547689318657,0.04252460598945618,0.04247882589697838,0.04136435315012932,0.04084603860974312,0.040584634989500046,0.040483564138412476,0.04009772837162018,0.039457231760025024,0.039345234632492065,0.03928243741393089,0.039070263504981995,0.03900470584630966,0.03872889280319214,0.03867920860648155,0.03794671967625618,0.016203703703619312,0.01678240740732,0.009765624999949138,0.013020833333265517,0.009114583333285861,0.011067708333275689,0.011718749999938965,0.009765624999949138,0.011067708333275689,0.012369791666602242,0.006944444444408275,0.008246527777734828,0.00781249999995931,0.009114583333285861,0.011718749999938965,0.005642361111081724,0.008680555555510346,0.009114583333285861,0.008049242424200501,0.009469696969647648,44.75,883.959134,137.48514,0.2412,0.2635
M1H1-2,0.9801570897064903,0.004857379082265399,0.005064076064489459,0.005064076064489459,0.004857379082265399,0.4942316,0.49556792,0.28864956,0.2883628,-5.6310272464454605e-05,0.44395432,0.5239813,0.2796309,0.28723967,0.03781324866381212,0.50074667,0.44586647,0.28743434,0.30723813,0.2799400015342648,0.4800896,0.52040815,0.32332632,0.29769737,-0.20613854054744812,0.48469126,0.5331771,0.25433663,0.31115407,-0.059406500370585695,7.844687342636091,4.16842585556063,7.551925920096373,4.6080061870428874,8.860975733811687,3.7976156407678356,7.526219835941122,2.107396821689053,7.810719634481873,3.891220240712691,7.143307252703685,3.147909100694759,7.526537581189387,4.645995543705926,7.585701258343241,3.7536368338445123,8.399386264720736,4.596061331594233,8.356324368504326,5.65400401624262,0.0035832896346792518,0.010749868904037755,0.01983918895298025,0.027879741303967837,0.03338577171823108,0.03635728019576997,0.04413564062226884,0.04929208180388044,0.05104002796713861,0.057070442230379305,0.2252793163061142,0.047388508915901184,0.04402710124850273,0.04370368644595146,0.043525151908397675,0.04258894920349121,0.041505489498376846,0.041500918567180634,0.041171904653310776,0.04102885350584984,0.04097393900156021,0.03986679017543793,0.03940904885530472,0.03913712128996849,0.03878398612141609,0.03858931362628937,0.038007091730833054,0.03796578198671341,0.037856873124837875,0.03769012540578842,0.01388888888881655,0.009837962962911723,0.016276041666581895,0.010416666666612414,0.011718749999938965,0.014973958333255344,0.011718749999938965,0.009765624999949138,0.013671874999928793,0.009765624999949138,0.009982638888836897,0.00781249999995931,0.007378472222183794,0.009114583333285861,0.006944444444408275,0.006944444444408275,0.008680555555510346,0.009114583333285861,0.008996212121165267,0.009943181818130031,46.13,884.360687,136.95219,0.2399,0.2502
M1H1-3,0.9801570897064903,0.0047540305911533695,0.005167424555601488,0.005064076064489459,0.004857379082265399,0.49392045,0.49578145,0.2884601,0.28868455,-0.0021830577126416882,0.55408275,0.45044214,0.2837499,0.29143268,0.1391308412072925,0.52756095,0.49932203,0.30295795,0.29662395,-0.04137777282966589,0.38327527,0.468523,0.26763573,0.27630502,0.12272880440036996,0.51089776,0.56094486,0.30659336,0.27336195,0.21726314591467874,6.485905564697402,3.7703630728988746,8.11226174224308,4.885817170682841,7.742093560821679,3.4668676018782247,6.591729199809251,2.9275216057489293,6.910447264005905,3.486941652745883,8.204732260433625,4.11357496216884,7.8396085441532115,5.243763878510394,8.451345418618617,4.039153452791082,8.436505240390641,5.657329699501459,7.821160358993519,3.8429449838779153,0.0033775006495193557,0.013510002598077423,0.018532952281978002,0.02442192777344765,0.032389365203083054,0.03940417424439248,0.045119944574348314,0.04728500909327098,0.054992638780635664,0.05429981813458041,0.22999826073646545,0.047112345695495605,0.0455455556511879,0.0437050461769104,0.04280911386013031,0.041337594389915466,0.04129888489842415,0.04026491940021515,0.04015703871846199,0.0398571603000164,0.03958003595471382,0.03947533294558525,0.03943273797631264,0.03941506892442703,0.03899364545941353,0.03885016217827797,0.03858818858861923,0.03839458152651787,0.03761984035372734,0.03756445646286011,0.012731481481415173,0.012152777777714483,0.013671874999928793,0.012369791666602242,0.011067708333275689,0.013020833333265517,0.006510416666632758,0.01562499999991862,0.00781249999995931,0.016927083333245174,0.008246527777734828,0.009548611111061379,0.006944444444408275,0.009548611111061379,0.00781249999995931,0.012152777777714483,0.006510416666632758,0.006510416666632758,0.008049242424200501,0.009469696969647648,45.57,883.515981,142.88124,0.2989,0.3019
M1H1-4,0.9801570897064903,0.0046506821000413395,0.005270773046713518,0.005580818520049607,0.00434063662670525,0.49328396,0.4960558,0.2888135,0.28895643,0.0007675423292716891,0.4878049,0.4314501,0.25911885,0.2774628,0.022744052309955735,0.6233859,0.53655696,0.25831005,0.28626496,-0.1669733653342078,0.46205962,0.5062775,0.28516838,0.25210017,-0.08869168869374137,0.52380955,0.43543178,0.28258762,0.26253575,0.03256262815733504,7.049393294982528,3.5016581398261764,6.084661524361395,4.385407175478736,7.1949202489204245,3.2958689660398357,9.138844080332836,4.798869442169118,7.6902569378873675,3.954456474289862,7.394896325149169,3.5502672053219015,6.477157712439159,3.5748792009693484,7.908605775487194,4.170747074388335,7.558604977828955,3.778790215799458,7.529302007947122,3.8842488399819652,0.00401227283455275,0.010699394225474,0.019353316025489734,0.026905829596412557,0.031154118480056645,0.040673432460073954,0.04366296908189757,0.04767524191645032,0.05632916371646605,0.05286759499645976,0.2249765694141388,0.04819018393754959,0.04382301867008209,0.042334653437137604,0.042232200503349304,0.04197710379958153,0.0417037308216095,0.041161634027957916,0.040312331169843674,0.040312331169843674,0.04001477733254433,0.04000409319996834,0.03986721113324165,0.03964173421263695,0.03961704298853874,0.039527375251054764,0.03869346156716347,0.038645725697278976,0.03863926976919174,0.038325536996126175,0.006944444444408275,0.008680555555510346,0.019531249999898276,0.013020833333265517,0.012369791666602242,0.007161458333296035,0.01562499999991862,0.01432291666659207,0.009114583333285861,0.016276041666581895,0.0060763888888572416,0.009548611111061379,0.009548611111061379,0.00781249999995931,0.011284722222163448,0.011718749999938965,0.009114583333285861,0.005642361111081724,0.004261363636341442,0.009469696969647648,44.0,881.968931,136.80316,0.2492,0.252
M1H2-1,0.9701322860686235,0.010644894584539065,0.009301364200082679,0.004857379082265399,0.005064076064489459,0.49427205,0.4960015,0.28854045,0.28885242,0.002121582799878279,0.44044518,0.47103834,0.28381312,0.28126216,-0.18805438898178448,0.5062331,0.46986815,0.30291095,0.26032302,-0.006239195878866497,0.51453036,0.5265056,0.2821204,0.29578018,0.12495412973316028,0.49303135,0.52006227,0.2881472,0.303315,-0.16262106439463075,4.742819069207706,3.1175726951860274,5.784284412016721,3.3957241834090817,7.972244195029416,3.9080826154090405,7.306600085814913,3.548688070640221,5.657754961300981,2.4926110343870174,7.672928609945583,4.01453083296348,7.164799681624678,4.206515391126381,7.797402808149152,3.829774943013542,6.639815034414893,3.679005100700483,7.39229964078522,3.7406154431038674,0.00323553202441356,0.012721523641444223,0.019817633649533054,0.02467093168615339,0.033715714390764026,0.03963526729906611,0.04364291492021472,0.04776086476946834,0.05493050959629384,0.05320244135598205,0.25809815526008606,0.04869959503412247,0.045553065836429596,0.04258371889591217,0.040623024106025696,0.040484003722667694,0.04033870995044708,0.03946677967905998,0.038734495639801025,0.03840959817171097,0.03816056251525879,0.03780089318752289,0.037466827780008316,0.0368129201233387,0.036486100405454636,0.036439236253499985,0.0364142470061779,0.03630402684211731,0.03591814264655113,0.03520587831735611,0.011534025374815916,0.015763168012248415,0.01211072664355671,0.012543252595112308,0.01211072664355671,0.010380622837334324,0.011678200692001114,0.011245674740445516,0.011678200692001114,0.012543252595112308,0.008650519031111937,0.00922722029985273,0.006632064590519151,0.008650519031111937,0.00807381776237114,0.010380622837334324,0.009803921568593528,0.008362168396741539,0.008178672538505832,0.006605850896485479,40.33,868.572341,134.03011,0.2407,0.2499
M1H2-2,0.9701322860686235,0.009611409673418768,0.010334849111202976,0.005580818520049607,0.00434063662670525,0.49385244,0.49553025,0.28857353,0.28852898,0.0002533791282190034,0.4702334,0.5268817,0.30575255,0.2880381,-0.16652315939461054,0.5184146,0.4661017,0.29344156,0.27187678,0.31494236518575486,0.50654924,0.5086315,0.27218285,0.31696165,-0.22347292803310276,0.48286876,0.5328894,0.27092025,0.3101168,-0.04425470190591648,5.463119882556128,2.383527400566236,5.628050440453106,3.2256857007023467,7.374109174584203,3.062968028003613,8.354735592940337,5.043459964166579,5.495640236588875,3.7058632275022134,6.9939964032374835,4.037210432333443,7.935285469279244,4.2539112179355545,6.8150512806060535,3.7556725153705557,8.205596447159484,4.662422862242723,7.408508398853328,4.692697594297668,0.003657671779942522,0.012092710782667115,0.0207890120553876,0.0254917329153137,0.034188034188034185,0.0403463591236517,0.0418392863807711,0.048258873586384504,0.05370805807487031,0.0529615944463106,0.2621236741542816,0.04586806148290634,0.04220661520957947,0.040485646575689316,0.04033477231860161,0.0399395115673542,0.039302993565797806,0.03881815820932388,0.03866339474916458,0.038449477404356,0.03839626535773277,0.03815727308392525,0.03814833238720894,0.03765004873275757,0.03738236054778099,0.037290092557668686,0.03711294010281563,0.036710225045681,0.03657491132616997,0.036385275423526764,0.009611687812346595,0.014994232987260688,0.015138408304445888,0.009948096885778726,0.011245674740445516,0.012975778546667904,0.012543252595112308,0.007785467128000743,0.01211072664355671,0.015570934256001485,0.008362168396741539,0.007497116493630344,0.010092272202963925,0.007208765859259948,0.007208765859259948,0.008362168396741539,0.008938869665482334,0.00951557093422313,0.008178672538505832,0.009436929852122111,41.31,869.167314,134.22004,0.2386,0.248
M1H2-3,0.9704423315419595,0.010128152128978917,0.009508061182306739,0.00434063662670525,0.005580818520049607,0.49401674,0.49595764,0.28847927,0.28860727,0.0016731292105033005,0.44985068,0.5171221,0.29881418,0.28179896,-0.04038657143018114,0.47865853,0.49668387,0.29464605,0.2998844,-0.06960587651292023,0.5159698,0.448749,0.27181312,0.29561085,0.06432966797827352,0.5627823,0.45809793,0.28693745,0.27897733,-0.08074998506964882,5.187340658187142,2.7254782313928207,5.339029635349963,2.4528558219531833,8.219041055748434,4.281158313456073,7.613368362004596,3.795654430371372,6.048211132223331,3.6632147220781057,8.836524284723234,4.400547483817585,6.981338682693722,3.3769464521045354,7.120620860823566,3.4958077178075073,7.484072135457758,3.4451558823765054,6.616774141145052,3.043997209705231,0.003155181038131517,0.011735734349147717,0.01920043095155643,0.02658817191888876,0.03351417907576282,0.038246950632960096,0.04378775635845934,0.04794336065258378,0.05329177729039209,0.055869791065450765,0.25797733664512634,0.04753260686993599,0.04320833832025528,0.04317692294716835,0.042183391749858856,0.04178519546985626,0.039900027215480804,0.039765309542417526,0.03909756615757942,0.03908973187208176,0.03819527104496956,0.03721435368061066,0.036743540316820145,0.0367337167263031,0.03644853085279465,0.036358900368213654,0.036304447799921036,0.03625959903001785,0.03614543005824089,0.03587976470589638,0.012820512820467993,0.012820512820467993,0.012674825174780857,0.01223776223771945,0.011363636363596632,0.009178321678289587,0.015297202797149311,0.009615384615350995,0.013111888111842267,0.012674825174780857,0.010489510489473813,0.008158508158479632,0.00786713286710536,0.004662004661988361,0.009615384615350995,0.01019813519809954,0.009032634032602451,0.009615384615350995,0.00794659885566198,0.006993006992982542,40.82,872.3792,134.59032,0.243,0.2555
M1H2-4,0.9701322860686235,0.010231500620090947,0.009714758164530797,0.005374121537825548,0.0045473336089293095,0.49369264,0.49500662,0.28857806,0.28870672,0.0033128366052238923,0.49975362,0.5036809,0.30907428,0.30607504,-0.17425746782411675,0.5062273,0.5108186,0.28138182,0.27309945,0.04686694880273447,0.51899624,0.5650261,0.29909536,0.25380626,-0.42427919499149097,0.4695122,0.5252311,0.25499314,0.29766205,0.088365280880462,5.454866165174535,2.5882388944182697,5.555538695531757,2.542789223764301,7.632582899599443,4.108320053909814,7.357459554936297,3.4118200670908583,5.496890456642373,3.2045348792800636,8.176701648546105,5.530460613286011,8.41565215418214,4.567676379372579,7.266890528716692,6.130735605530891,7.273099882816978,3.791914271083738,8.291627214125759,4.343305510478595,0.0030767003293879175,0.011546675353820538,0.01972707858254606,0.024794585007420277,0.034097078944510806,0.03912838889492163,0.04582473667064828,0.04817750751076846,0.05291924566547218,0.05404133637383719,0.2640571594238281,0.046217162162065506,0.046217162162065506,0.04254571720957756,0.041172463446855545,0.039368681609630585,0.039368681609630585,0.038684628903865814,0.03791237995028496,0.037891581654548645,0.03746139630675316,0.0372101329267025,0.03702017292380333,0.03671962395310402,0.0367024764418602,0.03663787245750427,0.036543525755405426,0.036526456475257874,0.035921357572078705,0.03582136332988739,0.012687427912297506,0.011534025374815916,0.01211072664355671,0.013408304498223502,0.009948096885778726,0.010380622837334324,0.013408304498223502,0.014705882352890292,0.011678200692001114,0.01211072664355671,0.007785467128000743,0.00807381776237114,0.007208765859259948,0.007497116493630344,0.006343713956148753,0.010380622837334324,0.009803921568593528,0.010668973471704722,0.0062912865680814075,0.010695187165738394,38.9,871.310914,133.00691,0.2364,0.2443
M1H3-1,0.9603141794129806,0.013848697809011988,0.015915667631252583,0.0047540305911533695,0.005167424555601488,0.4944642,0.49566332,0.28873202,0.2888775,-0.0017658573363141161,0.49262834,0.50069565,0.28112817,0.2830954,0.07390876668147298,0.4382325,0.48910412,0.29445493,0.2896606,0.0027077832833358882,0.52465534,0.5127119,0.2491546,0.29462835,0.259643791992307,0.5360975,0.5059322,0.28856823,0.251963,-0.11913107793833477,4.150255565295307,2.2409032552637673,4.244328576486931,2.2080048288957177,7.645503463346027,4.281224764902688,7.129208523411493,3.918467280674543,4.156082325783724,2.000774626061922,7.483871792503341,4.2618428859376785,7.124367757313847,3.9347414182759386,8.078551556674118,4.483373853449492,8.01435457620725,4.565965703413459,7.499439410665187,3.847322027934673,0.0038051288278988806,0.012730989535895723,0.019713805736029308,0.024895257756997996,0.03307223672758921,0.03926569109640334,0.04147185621470642,0.048818993260064364,0.0545469265488696,0.0550124476288785,0.2926611304283142,0.040756817907094955,0.039895541965961456,0.03969981521368027,0.03856504708528519,0.03854241222143173,0.038447052240371704,0.03841903433203697,0.03829589858651161,0.037377484142780304,0.037268031388521194,0.036513470113277435,0.03639779984951019,0.03617105260491371,0.03600549325346947,0.035183895379304886,0.035079434514045715,0.03496959060430527,0.03494337946176529,0.03480759263038635,0.013020833333299425,0.013310185185150522,0.012044270833301968,0.012044270833301968,0.010742187499972026,0.015299479166626825,0.011393229166636997,0.013997395833296882,0.0074869791666471695,0.012369791666634454,0.008246527777756302,0.007595486111091331,0.009114583333309598,0.009114583333309598,0.008463541666644626,0.007595486111091331,0.00868055555553295,0.009548611111086245,0.007575757575737848,0.008759469696946886,36.57,859.190923,133.15207,0.2417,0.2514
M1H3-2,0.9602108309218685,0.014468788755684168,0.015398925175692435,0.004857379082265399,0.005064076064489459,0.49370492,0.495578,0.28858027,0.2885639,0.0014069000806062615,0.5358014,0.5056901,0.30584243,0.30475238,-0.005488297708255131,0.47037157,0.49783868,0.28305513,0.2896508,-0.08412930454343434,0.4841723,0.45672557,0.2947612,0.26748875,0.07453322480544419,0.49253362,0.5335524,0.24833962,0.27104026,-0.10065471424371579,4.368254933655026,2.3323330392607087,4.47442475915994,2.2404891276219896,7.954404914535626,4.061206705207215,7.7250983331178915,3.346700877590846,4.349643346303924,2.3364875750847527,8.259080616061974,4.1181325802865985,8.07715529391836,4.7549513517939,7.3508041430283795,4.1343917605084695,7.650258894637403,3.9557597866044154,7.155031740266889,3.858837542415086,0.0033736057519978073,0.01262993653404179,0.019735593649187172,0.025639403715183334,0.03320893162122841,0.03928142197482447,0.04470027621397094,0.04701963016846944,0.05269150483901575,0.055053028865414216,0.29514262080192566,0.04366995766758919,0.04132721200585365,0.04048004001379013,0.03937448561191559,0.03858489915728569,0.037903279066085815,0.03749052435159683,0.03718065097928047,0.03681059926748276,0.03596235811710358,0.035919539630413055,0.03575313091278076,0.03543885424733162,0.03540140390396118,0.0353594534099102,0.035263653844594955,0.03464117273688316,0.03416343033313751,0.03413282334804535,0.012698412698379716,0.011255411255382021,0.01168831168828133,0.012662337662304773,0.012012987012955811,0.014610389610351661,0.011038961038932366,0.010389610389583404,0.011038961038932366,0.014610389610351661,0.007575757575737898,0.009956709956684096,0.008008658008637207,0.00714285714283859,0.009956709956684096,0.007792207792187553,0.007575757575737898,0.009307359307335132,0.008264462809895888,0.009208972845312562,37.95,859.033184,132.77327,0.2432,0.2538
